word	nodeType	synsetCount	unit	count
sit	VERB	10	02x01_-_Follow_Mama_and_Papa	8
sneer	VERB	4	02x01_-_Follow_Mama_and_Papa	1
sound	VERB	24	02x01_-_Follow_Mama_and_Papa	1
split	VERB	18	02x01_-_Follow_Mama_and_Papa	1
stand	VERB	24	02x01_-_Follow_Mama_and_Papa	1
stay	VERB	16	02x01_-_Follow_Mama_and_Papa	1
stop	VERB	22	02x01_-_Follow_Mama_and_Papa	2
straighten	VERB	6	02x01_-_Follow_Mama_and_Papa	1
suspect	VERB	6	02x01_-_Follow_Mama_and_Papa	1
sustain	VERB	7	02x01_-_Follow_Mama_and_Papa	1
tail	VERB	11	02x01_-_Follow_Mama_and_Papa	4
take	VERB	44	02x01_-_Follow_Mama_and_Papa	6
teach	VERB	3	02x01_-_Follow_Mama_and_Papa	1
tell	VERB	9	02x01_-_Follow_Mama_and_Papa	5
thank	VERB	1	02x01_-_Follow_Mama_and_Papa	4
think	VERB	14	02x01_-_Follow_Mama_and_Papa	1
treat	VERB	10	02x01_-_Follow_Mama_and_Papa	1
try	VERB	10	02x01_-_Follow_Mama_and_Papa	3
underestimate	VERB	4	02x01_-_Follow_Mama_and_Papa	1
understand	VERB	5	02x01_-_Follow_Mama_and_Papa	1
use	VERB	13	02x01_-_Follow_Mama_and_Papa	4
view	VERB	13	02x01_-_Follow_Mama_and_Papa	1
wait	VERB	6	02x01_-_Follow_Mama_and_Papa	5
walk	VERB	17	02x01_-_Follow_Mama_and_Papa	1
want	VERB	9	02x01_-_Follow_Mama_and_Papa	9
watch	VERB	13	02x01_-_Follow_Mama_and_Papa	2
wear	VERB	12	02x01_-_Follow_Mama_and_Papa	2
win	VERB	6	02x01_-_Follow_Mama_and_Papa	1
work	VERB	34	02x01_-_Follow_Mama_and_Papa	3
worry	VERB	8	02x01_-_Follow_Mama_and_Papa	3
accord	VERB	6	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
avenge	VERB	1	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
be	VERB	14	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	6
beat	VERB	34	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
become	VERB	4	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	3
believe	VERB	5	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
bring	VERB	11	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
bump	VERB	8	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
buy	VERB	6	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
call	VERB	41	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	3
catch	VERB	39	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
cause	VERB	7	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
check	VERB	38	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
choose	VERB	3	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
climb	VERB	9	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
come	VERB	22	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	8
complain	VERB	2	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
complete	VERB	10	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
connect	VERB	11	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
continue	VERB	10	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
crash	VERB	18	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
cry	VERB	12	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
develop	VERB	21	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
die	VERB	14	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
disguise	VERB	4	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
disturb	VERB	5	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
do	VERB	16	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	9
draw	VERB	45	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
eat	VERB	6	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	7
enjoy	VERB	5	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
enter	VERB	9	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
expect	VERB	6	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
feel	VERB	17	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
figure	VERB	18	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
find	VERB	18	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	4
finish	VERB	15	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	3
fish	VERB	6	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
flicker	VERB	6	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
fool	VERB	7	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
forget	VERB	4	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
fulfill	VERB	3	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
gather	VERB	11	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
get	VERB	37	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	13
give	VERB	45	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	3
go	VERB	35	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	30
grab	VERB	8	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
grow	VERB	10	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
guide	VERB	11	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
have	VERB	20	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	15
head	VERB	42	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
hear	VERB	5	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
help	VERB	12	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	4
hide	VERB	6	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
hold	VERB	45	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
hope	VERB	9	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
hurry	VERB	6	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	3
idle	VERB	10	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
involve	VERB	7	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
join	VERB	7	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
k*ll	VERB	0	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
k*lle	VERB	0	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
kid	VERB	7	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
know	VERB	12	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
lack	VERB	2	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
laugh	VERB	4	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
learn	VERB	6	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
leave	VERB	17	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
let	VERB	8	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	11
lie	VERB	10	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
live	VERB	19	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
look	VERB	14	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	7
lose	VERB	11	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
maintain	VERB	10	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
make	VERB	51	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	11
miss	VERB	12	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
need	VERB	7	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
obsess	VERB	2	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
open	VERB	36	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
play	VERB	52	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	4
praise	VERB	3	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
prepare	VERB	8	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
pressure	VERB	9	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
pretend	VERB	8	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
prohibit	VERB	1	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
punish	VERB	1	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
push	VERB	15	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
reflect	VERB	7	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
refuse	VERB	7	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
relax	VERB	8	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
release	VERB	22	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
rely	VERB	1	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
remember	VERB	8	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
revitalize	VERB	2	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
row	VERB	8	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
rumor	VERB	2	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
rustle	VERB	4	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
save	VERB	12	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
say	VERB	12	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
scold	VERB	3	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
see	VERB	25	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	5
seek	VERB	6	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	3
seem	VERB	4	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
sell	VERB	9	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
settle	VERB	23	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
sit	VERB	10	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
sneak	VERB	8	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
spend	VERB	3	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
start	VERB	22	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	3
stay	VERB	16	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
stop	VERB	22	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	5
study	VERB	16	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	5
take	VERB	44	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	5
tell	VERB	9	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
thank	VERB	1	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	3
think	VERB	14	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	3
train	VERB	17	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
trick	VERB	8	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
trust	VERB	12	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
try	VERB	10	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	2
unlock	VERB	3	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
use	VERB	13	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	3
value	VERB	11	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
wake	VERB	9	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
walk	VERB	17	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	3
want	VERB	9	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	9
watch	VERB	13	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	6
wonder	VERB	6	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
work	VERB	34	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	6
worry	VERB	8	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	4
write	VERB	10	02x02_-_Bond_s_Strategy_to_Stay_Alive-Damian_s_Field_Research_Trip	1
affect	VERB	6	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
arrest	VERB	6	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	4
arrive	VERB	2	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
be	VERB	14	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	4
become	VERB	4	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
beg	VERB	4	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
begin	VERB	11	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
believe	VERB	5	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
borrow	VERB	2	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
breathe	VERB	9	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
bring	VERB	11	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
buy	VERB	6	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
call	VERB	41	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
catch	VERB	39	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	2
cause	VERB	7	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
choose	VERB	3	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
come	VERB	22	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	2
complain	VERB	2	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
conclude	VERB	5	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
count	VERB	12	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
create	VERB	6	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
damn	VERB	5	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
deal	VERB	22	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
degrade	VERB	3	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
develop	VERB	21	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
disappoint	VERB	1	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
disturb	VERB	5	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
do	VERB	16	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	7
drive	VERB	34	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
eat	VERB	6	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	2
end	VERB	18	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
enter	VERB	9	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
explode	VERB	10	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
fall	VERB	44	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
feel	VERB	17	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
fight	VERB	9	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	2
fill	VERB	11	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
follow	VERB	24	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	2
forget	VERB	4	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	2
forgive	VERB	2	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
gather	VERB	11	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
get	VERB	37	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	10
give	VERB	45	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	3
go	VERB	35	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	13
grow	VERB	10	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
happen	VERB	5	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
have	VERB	20	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	6
hear	VERB	5	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
hoard	VERB	3	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
hold	VERB	45	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	2
honor	VERB	7	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
hurry	VERB	6	02x03_-_Mission_and_Family-The_Elegant_Bondman-The_Heart_of_a_Child	1
